Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,81700.000000,82449.953125,80500.000000,80980.500000,80930.523438,33546
2021-04-16,81410.000000,81981.046875,80980.500000,81366.000000,81315.789063,23199
2021-04-19,79205.000000,80399.000000,78813.000000,79231.398438,79182.500000,26801
2021-04-20,80399.953125,80650.101563,78699.546875,79339.796875,79290.835938,27667
2021-04-22,79100.000000,79100.000000,77634.351563,78308.000000,78259.671875,41067
2021-04-23,78280.000000,78881.000000,77800.000000,78214.148438,78165.875000,17859
2021-04-26,78550.000000,79296.398438,77484.500000,77687.546875,77639.601563,16483
2021-04-27,77900.000000,78472.898438,77700.000000,78010.398438,77962.257813,13283
2021-04-28,78390.000000,79300.000000,77850.000000,78060.796875,78012.625000,23446
2021-04-29,78600.000000,79100.000000,77505.000000,77656.898438,77608.976563,18240
2021-04-30,77600.000000,81699.000000,77200.000000,80720.546875,80670.734375,60005
2021-05-03,80399.898438,81127.953125,79300.101563,79907.546875,79858.234375,18348
2021-05-04,80880.000000,80880.000000,78410.148438,78614.500000,78565.984375,24181
2021-05-05,79299.953125,79398.953125,77751.000000,78277.703125,78229.390625,17889
2021-05-06,78300.000000,79199.953125,77756.250000,77887.296875,77839.226563,17273
2021-05-07,78300.000000,78770.000000,77200.000000,77446.203125,77398.406250,21111
2021-05-10,78200.000000,78745.000000,77500.000000,78370.046875,78321.679688,15645
2021-05-11,77914.000000,78989.953125,77606.351563,78621.148438,78572.625000,14533
2021-05-12,78300.000000,79225.101563,77001.000000,77267.296875,77219.609375,21902
2021-05-14,77501.000000,77850.000000,75950.000000,76135.750000,76088.765625,23176
2021-05-17,76780.000000,78464.296875,76000.000000,78211.796875,78163.531250,20991
2021-05-18,78850.000000,79947.000000,78405.546875,79270.000000,79221.078125,24073
2021-05-19,79272.000000,80000.000000,78340.046875,79683.203125,79634.023438,19150
2021-05-20,79800.000000,82469.953125,79246.351563,81231.101563,81180.968750,26037
2021-05-21,81700.000000,82483.648438,81300.000000,82178.203125,82127.484375,20210
2021-05-24,82360.000000,83300.000000,82000.000000,82458.851563,82407.960938,15291
2021-05-25,82706.000000,83098.953125,81921.000000,82181.648438,82130.929688,11453
2021-05-26,82669.953125,82800.000000,81400.000000,81569.500000,81519.156250,10203
2021-05-27,81599.898438,83174.851563,81355.601563,82794.148438,82743.054688,18209
2021-05-28,83199.000000,83650.000000,82825.000000,83382.101563,83330.640625,10943
2021-05-31,83237.000000,83965.000000,83000.000000,83641.398438,83589.781250,10282
2021-06-01,83643.398438,84800.000000,82811.796875,83083.453125,83032.179688,11331
2021-06-02,82800.000000,84776.453125,82800.000000,84432.648438,84380.539063,10170
2021-06-03,84705.000000,85086.000000,83810.000000,84471.000000,84418.867188,9669
2021-06-04,84850.000000,85336.000000,84240.000000,84918.703125,84866.296875,11134
2021-06-07,85598.898438,87300.000000,82250.000000,82400.500000,82349.648438,69851
2021-06-08,82260.000000,82455.148438,81150.148438,81349.203125,81299.000000,26448
2021-06-09,81869.000000,81989.000000,80009.000000,80228.148438,80178.632813,19134
2021-06-10,80301.000000,82325.953125,80050.046875,82172.148438,82121.437500,20186
2021-06-11,82572.148438,82818.453125,81325.203125,82171.500000,82120.789063,13297
2021-06-14,82000.000000,83127.953125,81271.296875,82476.851563,82425.953125,11908
2021-06-15,82530.500000,83357.750000,81950.000000,82862.703125,82811.562500,12061
2021-06-16,82799.000000,83150.000000,82350.046875,82554.296875,82503.351563,10103
2021-06-17,81925.000000,83295.851563,81826.046875,82676.398438,82625.375000,14770
2021-06-18,82650.000000,83147.398438,80500.000000,82644.101563,82593.101563,32641
2021-06-21,81000.000000,82250.000000,81000.000000,81777.046875,81726.578125,6928
2021-06-22,82500.000000,82500.000000,81500.000000,81747.250000,81696.796875,7101
2021-06-23,81750.000000,82499.953125,81750.000000,81970.546875,81919.960938,4801
2021-06-24,82198.000000,82198.000000,80650.000000,80975.000000,80925.023438,9667
2021-06-25,81217.898438,81249.046875,80375.000000,80514.203125,80464.515625,7525
2021-06-28,80899.000000,81148.851563,80141.000000,80554.648438,80504.937500,10158
2021-06-29,80750.000000,80750.000000,79527.750000,80222.250000,80172.742188,14280
2021-06-30,80300.000000,80649.546875,79871.000000,80079.500000,80030.078125,7178
2021-07-01,80100.000000,81467.851563,80100.000000,81018.296875,80968.296875,9204
2021-07-02,81021.101563,81489.601563,80600.000000,81142.296875,81092.218750,6768
2021-07-05,81190.000000,81827.750000,80600.000000,80830.351563,80780.468750,8057
2021-07-06,80890.000000,81384.000000,80350.000000,80449.203125,80399.554688,6734
2021-07-07,80600.000000,81349.851563,80300.203125,80768.898438,80719.054688,10475
2021-07-08,81000.000000,81339.953125,80100.000000,80417.953125,80368.320313,5867
2021-07-09,80600.000000,80699.898438,79880.000000,79994.703125,79945.335938,10267
2021-07-12,80300.000000,80480.203125,79880.000000,80187.101563,80137.617188,5751
2021-07-13,80439.953125,83450.000000,80001.101563,83115.796875,83064.500000,35724
2021-07-14,83000.000000,83356.953125,82380.601563,82806.046875,82754.945313,9792
2021-07-15,82806.000000,83254.953125,81116.000000,81445.203125,81394.937500,10241
2021-07-16,81950.000000,82710.000000,81354.898438,82449.851563,82398.968750,11216
2021-07-19,81800.000000,82964.953125,81625.000000,82236.296875,82185.546875,7692
2021-07-20,82201.000000,82700.000000,81402.000000,81640.046875,81589.664063,7135
2021-07-22,81650.500000,82400.000000,81242.546875,81572.000000,81521.656250,6118
2021-07-23,81879.953125,81969.750000,81000.000000,81174.851563,81124.757813,4471
2021-07-26,81349.000000,81599.546875,80700.000000,80917.750000,80867.812500,5993
2021-07-27,80925.000000,81319.953125,79947.851563,80095.351563,80045.921875,6581
2021-07-28,80255.546875,80545.000000,79201.046875,79922.750000,79873.429688,7559
2021-07-29,80002.296875,80297.796875,79451.953125,79725.500000,79676.296875,5158
